Brand_ID,Classification,Price,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides
Wi02-1128,Red,22.99,6.144,0.2156,0.3914,8.372,0.04048,31.5,123.19,1.0826534,3.0888,0.327,10.34,0.020087656
Wi02-1129,Red,16.99,9.792,0.3234,0.4738,1.748,0.07452,5.4,8.73,1.0859452,3.224,0.5232,9.776,0.028432295
Wi02-1130,Red,13.99,6.72,0.5292,0,1.932,0.07268,35.1,53.35,1.085204,3.5256,0.9156,10.716,0.032032988
Wi02-1131,Red,18.99,8.256,0.6713,0.103,1.472,0.08464,2.7,11.64,1.0872205,3.4424,0.7085,8.977,0.032142596
Wi02-1132,Red,21.99,8.064,0.1666,0.3193,6.164,0.03496,26.1,128.04,1.084005,3.224,0.3488,9.964,0.022257789
Wi02-1133,Red,16.99,6.72,0.1568,0.2678,6.302,0.04324,27,213.4,1.0858798,3.5152,0.6322,9.494,0.029369046
Wi02-1134,Red,11.99,5.952,0.343,0.0309,1.104,0.05888,26.1,116.4,1.082806,3.3488,0.5886,8.554,0.042962709
Wi02-1135,Red,9.99,8.16,0.1666,0.3193,0.92,0.02208,11.7,88.27,1.08237,2.9016,0.4033,9.494,0.049585063
Wi02-1136,Red,11.99,5.952,0.6272,0.0927,2.3,0.07452,13.5,25.22,1.0849642,3.7128,0.6867,11.28,0.037722908
Wi02-1137,Red,12.99,7.104,0.3626,0.2678,8.832,0.046,29.7,129.98,1.0857272,3.2552,0.5014,9.776,0.043133026
Wi02-1138,Red,9.99,7.68,0.2744,0.4326,6.532,0.0414,36.9,163.93,1.085531,3.2968,0.4687,9.964,0.044176529
Wi02-1139,Red,23.99,5.376,0.2744,0.412,5.612,0.03128,32.4,114.46,1.0806696,3.3384,0.4687,11.374,0.025796829
Wi02-1140,Red,26.99,10.656,0.3038,0.5459,2.024,0.0552,2.7,9.7,1.0853348,3.1408,0.9047,10.246,0.021759729
Wi02-1141,Red,13.99,7.104,0.2548,0.3811,8.648,0.04324,37.8,142.59,1.088038,3.5984,0.7848,9.4,0.042793398
Wi02-1142,Red,25.99,9.504,0.343,0.3914,1.38,0.05336,27.9,45.59,1.0864684,3.3904,0.8938,9.964,0.022577811
Wi02-1143,Red,14.99,9.6,0.5488,0.2472,2.024,0.07268,17.1,56.26,1.089019,3.3072,0.6104,9.494,0.030352865
Wi02-1144,Red,21.99,6.432,0.2058,0.5047,1.288,0.04324,27,110.58,1.080626,3.0368,0.4578,10.152,0.024874215
Wi02-1145,Red,9.99,6.624,0.392,0.1751,11.868,0.03036,53.1,180.42,1.0873186,3.2032,0.5341,8.836,0.04147422
Wi02-1146,Red,8.99,6.912,0.1568,0.2678,6.532,0.04968,36.9,217.28,1.086294,3.5152,0.5995,9.494,0.037445024
Wi02-1147,Red,18.99,6.72,0.2548,0.4738,14.306,0.03404,54.9,165.87,1.088474,3.0576,0.3815,8.272,0.033738088
Wi02-1148,Red,14.99,6.24,0.1764,0.4944,16.56,0.04968,50.4,177.51,1.0904142,3.0992,0.6649,7.99,0.026035503
Wi02-1149,Red,16.99,11.136,0.4655,0.412,1.288,0.08372,5.4,27.16,1.0867736,3.1928,0.7085,9.43133333,0.030657662
Wi02-1150,Red,37.99,7.2,0.2744,0.3502,3.864,0.02576,32.4,112.52,1.08019,3.1096,0.4469,11.562,0.017670087
Wi02-1151,Red,11.99,7.872,0.2548,0.3399,2.392,0.04876,9.9,68.87,1.0834818,3.0056,0.5341,8.93,0.04147422
Wi02-1152,Red,14.99,9.984,0.4214,0.515,2.116,0.06256,11.7,18.43,1.08564,3.224,0.9483,10.716,0.033270322
Wi02-1153,Red,19.99,6.432,0.1274,0.5871,6.072,0.05152,54,145.5,1.0850732,3.0784,0.4687,8.836,0.032252768
Wi02-1154,Red,23.99,6.528,0.245,0.3502,12.88,0.02944,42.3,129.01,1.084768,3.5048,0.545,11.468,0.020306593
Wi02-1155,Red,29.99,7.68,0.4312,0.5047,8.372,0.02852,41.4,146.47,1.081934,3.2864,0.2943,11.938,0.015224913
Wi02-1156,Red,8.99,7.392,0.588,0,2.392,0.0506,6.3,12.61,1.0860651,3.5152,0.6104,10.152,0.043304359
Wi02-1157,Red,14.99,6.432,0.4116,0.4017,11.132,0.0368,54.9,240.56,1.0877546,3.4424,0.6322,9.118,0.052669632
Wi02-1158,Red,12.99,6.912,0.6811,0.1339,1.84,0.06992,10.8,19.4,1.0850514,3.4216,0.5886,9.494,0.054320988
Wi02-1159,Red,19.99,7.68,0.2352,0.3708,1.38,0.04324,15.3,125.13,1.084332,3.328,0.5886,9.4,0.026855469
Wi02-1160,Red,27.99,10.272,0.343,0.5459,2.392,0.0644,4.5,15.52,1.086948,3.276,0.7085,10.34,0.015739108
Wi02-1161,Red,12.99,6.912,0.6811,0.1339,1.84,0.06992,10.8,19.4,1.0850514,3.4216,0.5886,9.494,0.05131339
Wi02-1162,Red,8.99,9.12,0.2058,0.4841,1.196,0.03588,18.9,119.31,1.085531,3.016,0.6976,8.93,0.052669632
Wi02-1163,Red,19.99,6.816,0.3332,0.3193,4.784,0.02944,32.4,135.8,1.0809094,3.484,0.5123,11.562,0.020306593
Wi02-1164,Red,17.99,7.872,0.392,0.3193,1.748,0.07544,7.2,23.28,1.08564,3.3696,0.7521,9.964,0.026855469
Wi02-1165,Red,20.99,5.376,0.2548,0.2781,9.752,0.0276,24.3,115.43,1.084223,3.536,0.3706,10.058,0.022069032
Wi02-1166,Red,8.99,7.584,0.294,0.618,1.702,0.04416,11.7,102.82,1.0827079,3.3696,0.5341,11.139,0.04147422
Wi02-1167,Red,12.99,6.432,0.49,0.3914,6.9,0.04232,23.4,169.75,1.0863158,3.4528,0.5886,9.024,0.04734767
Wi02-1168,Red,19.99,5.568,0.9898,0.6798,1.84,0.03588,13.5,85.36,1.0829913,3.8064,0.654,10.81,0.027280055
Wi02-1169,Red,18.99,8.448,0.2646,0.4738,1.932,0.0874,18,28.13,1.0844192,3.3904,0.6104,10.622,0.028988869
Wi02-1170,Red,11.99,5.904,0.2058,0.3811,2.944,0.01932,18,77.6,1.0799284,3.5256,0.5123,11.28,0.050872933
Wi02-1171,Red,19.99,6.72,0.6762,0.0721,2.3,0.08372,13.5,20.37,1.0853348,3.5152,0.654,10.622,0.028801542
Wi02-1172,Red,8.99,8.16,0.1764,0.309,1.012,0.02576,30.6,92.15,1.0820648,2.9432,0.3924,9.4,0.066732995
Wi02-1173,Red,9.99,6.528,0.2548,0.2266,4.416,0.03772,99,192.06,1.0838633,3.4216,0.7303,9.964,0.050008866
Wi02-1174,Red,23.99,4.608,0.1666,0.2884,2.668,0.0276,19.8,107.67,1.079318,3.5152,0.3706,10.622,0.02310439
Wi02-1175,Red,25.99,5.76,0.3038,0.2781,2.116,0.03864,17.1,116.4,1.0785768,3.4528,0.4469,11.938,0.021821067
Wi02-1176,Red,13.99,6.528,0.637,0.0206,1.932,0.07176,7.2,14.55,1.0845282,3.484,0.6758,9.776,0.035840426
Wi02-1177,Red,10.99,6.336,0.3234,0.3296,14.352,0.04968,55.8,220.19,1.0871006,3.38,0.6104,9.776,0.04052446
Wi02-1178,Red,15.99,6.432,0.1274,0.2987,4.876,0.04692,27.9,118.34,1.083896,3.5776,0.4033,9.118,0.030863418
Wi02-1179,Red,16.99,7.104,0.2548,0.3193,6.992,0.04324,46.8,171.69,1.085858,3.2552,0.4905,8.366,0.035076531
Wi02-1180,Red,16.99,6.048,0.2548,0.4326,6.532,0.0414,55.8,202.73,1.0850296,3.328,0.5777,8.93,0.034951593
Wi02-1181,Red,9.99,9.888,0.3332,0.5356,2.576,0.14628,13.5,72.75,1.089782,3.3072,0.6976,8.836,0.040369343
Wi02-1182,Red,14.99,5.76,0.2352,0.3296,5.796,0.0276,30.6,125.13,1.084114,3.6608,0.4469,9.776,0.038288038
Wi02-1183,Red,14.99,6.624,0.7252,0.0309,2.116,0.04968,6.3,15.52,1.0846372,3.588,0.6867,10.81,0.026522896
Wi02-1184,Red,19.99,7.296,0.3724,0.2884,3.864,0.02668,6.3,108.64,1.079754,3.12,0.4469,11.844,0.030657662
Wi02-1185,Red,16.99,7.104,0.588,0.2678,1.932,0.07636,15.3,88.27,1.0858144,3.4216,0.6104,9.212,0.027280055
Wi02-1186,Red,19.99,4.8,0.294,0.3399,3.404,0.0276,48.6,167.81,1.077683,3.4944,0.327,12.22,0.01966027
Wi02-1187,Red,18.99,6.048,0.2646,0.2575,5.336,0.03496,46.8,150.35,1.08455,3.4112,0.4142,8.836,0.030760282
Wi02-1188,Red,8.99,5.856,0.1666,0.4326,13.892,0.03036,25.2,120.28,1.0865556,2.9848,0.5123,8.93,0.051984877
Wi02-1189,Red,14.99,8.256,0.2254,0.412,3.864,0.0322,15.3,105.73,1.084223,3.2656,0.5777,9.118,0.052669632
Wi02-1190,Red,18.99,8.448,0.5978,0.1957,3.68,0.08648,27,66.93,1.0876783,3.3488,0.545,9.4,0.029953491
Wi02-1191,Red,15.99,7.488,0.1764,0.3193,11.224,0.04876,41.4,135.8,1.08782,3.1824,0.5777,8.366,0.028801542
Wi02-1192,Red,15.99,6.24,0.4214,0.2884,10.35,0.02944,27.9,84.39,1.081498,3.1408,0.4142,11.656,0.032699168
Wi02-1193,Red,9.99,6.528,0.2156,0.309,12.512,0.0506,45,174.6,1.088256,3.5776,0.4251,9.212,0.05131339
Wi02-1194,Red,13.99,7.008,0.2744,0.5562,11.868,0.04508,55.8,157.625,1.088256,3.1824,0.4905,8.554,0.026440719
